"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
